,return
10,-0.006694706051195753
11,-0.006694706051195753
12,-0.00296895391756649
13,-0.00296895391756649
14,-0.005201454029745783
15,-0.005201454029745783
16,-0.005201454029745783
17,-0.005352534697056155
18,-0.005352534697056155
19,-0.005352534697056155
20,-0.005352534697056155
21,-0.005352534697056155
22,-0.005352534697056155
23,-0.005352534697056155
24,-0.004428122247465887
25,-0.006251546167720624
26,-0.00900498975839614
27,-0.00900498975839614
28,-0.00900498975839614
29,-0.00900498975839614
30,-0.00900498975839614
31,-0.00900498975839614
32,-0.00900498975839614
33,-0.00900498975839614
34,-0.00900498975839614
35,-0.008650995930754725
36,-0.0022360350377620673
37,-0.004113224980083662
38,-0.004113224980083662
39,-0.004113224980083662
40,-0.004047347356720913
41,-0.004047347356720913
42,-0.006838738542345223
43,-0.006838738542345223
44,-0.008380703753693116
45,-0.012521755193927692
46,-0.012521755193927692
47,-0.012521755193927692
48,-0.012521755193927692
49,-0.012521755193927692
50,-0.012521755193927692
51,-0.012521755193927692
52,-0.012521755193927692
53,-0.012521755193927692
54,-0.012125392621392232
55,-0.004033174392636677
56,-0.015888370406061073
57,-0.015888370406061073
58,-0.015888370406061073
59,-0.015888370406061073
60,-0.015888370406061073
61,-0.015888370406061073
62,-0.015888370406061073
63,-0.015888370406061073
64,-0.015848397543740414
65,-0.015848397543740414
66,-0.0033962828243155486
67,-0.0033962828243155486
68,-0.0034930056985247294
69,-0.0017081676178239591
70,-0.0017081676178239591
71,-0.0017081676178239591
72,-0.0017081676178239591
73,-0.0017081676178239591
74,-0.003666946971921764
75,-0.003691335785736466
76,-0.003691335785736466
77,-0.003691335785736466
78,-0.003691335785736466
79,-0.003691335785736466
80,-0.003691335785736466
81,-0.003691335785736466
82,-0.003691335785736466
83,-0.00964598357059639
84,-0.009486212952334195
85,-0.009923718260721942
86,-0.009923718260721942
87,-0.011359752045672283
88,-0.011359752045672283
89,-0.011359752045672283
90,-0.011359752045672283
91,-0.011359752045672283
92,-0.011359752045672283
93,-0.011160201095796927
94,-0.011160201095796927
95,-0.011160201095796927
96,-0.011160201095796927
97,-0.007917675189577254
98,-0.007917675189577254
99,-0.007917675189577254
100,-0.007040468477224961
101,-0.013401397043871156
102,-0.013401397043871156
103,-0.013462705245113782
104,-0.013462705245113782
105,-0.013462705245113782
106,-0.013462705245113782
107,-0.013462705245113782
108,-0.013462705245113782
109,-0.013462705245113782
110,-0.013462705245113782
111,-0.007425157509949214
112,-0.007425157509949214
113,-0.006913738167197596
114,-0.006419974837615151
115,-0.006419974837615151
116,-0.006419974837615151
117,-0.006419974837615151
118,-0.006419974837615151
119,-0.006477384090329552
120,-0.00661004482733056
121,-0.0062607135099025865
122,-0.006285895218012759
123,-0.006285895218012759
124,-0.006285895218012759
125,-0.0062931801696802766
126,-0.0062931801696802766
127,-0.0062931801696802766
128,-0.0062931801696802766
129,-0.006519134114114588
130,-0.006519134114114588
131,-0.004556294318551367
132,-0.004556294318551367
133,-0.004556294318551367
134,-0.004556294318551367
135,-0.0045618902031550005
136,-0.008373326522859478
137,-0.008373326522859478
138,-0.008611876608313836
139,-0.008611876608313836
140,-0.008611876608313836
141,-0.008611876608313836
142,-0.008611876608313836
143,-0.008611876608313836
144,-0.008611876608313836
145,-0.008611876608313836
146,-0.01150002955550286
147,-0.012191605358288912
148,-0.015266452576285778
149,-0.015312261523788378
150,-0.015312261523788378
