,return
250,-0.020517203967358514
251,-0.020517203967358514
252,-0.020517203967358514
253,-0.020517203967358514
254,-0.020517203967358514
255,-0.020517203967358514
256,-0.020517203967358514
257,-0.020517203967358514
258,-0.020517203967358514
259,-0.020517203967358514
260,-0.020517203967358514
261,-0.020517203967358514
262,-0.020517203967358514
263,-0.020517203967358514
264,-0.020517203967358514
265,-0.020517203967358514
266,-0.020517203967358514
267,-0.020517203967358514
268,-0.020517203967358514
269,-0.020517203967358514
270,-0.020517203967358514
271,-0.020517203967358514
272,-0.020517203967358514
273,-0.020517203967358514
274,-0.020517203967358514
275,-0.020517203967358514
276,-0.020517203967358514
277,-0.020517203967358514
278,-0.020517203967358514
279,-0.020517203967358514
280,-0.020517203967358514
281,-0.020517203967358514
282,-0.020517203967358514
283,-0.020517203967358514
284,-0.020517203967358514
285,-0.020517203967358514
286,-0.025231336811113562
287,-0.02634121291798016
288,-0.02634121291798016
289,-0.028770453562865686
290,-0.028770453562865686
291,-0.028770453562865686
292,-0.028770453562865686
293,-0.028770453562865686
294,-0.028770453562865686
295,-0.030102095851186287
296,-0.0326126709401192
297,-0.0326126709401192
298,-0.0326126709401192
299,-0.03711704450204745
300,-0.03711704450204745
301,-0.03711704450204745
302,-0.03711704450204745
303,-0.043639549691261
304,-0.043639549691261
305,-0.043639549691261
306,-0.043639549691261
307,-0.043639549691261
308,-0.043639549691261
309,-0.043639549691261
310,-0.043639549691261
311,-0.043639549691261
312,-0.043639549691261
313,-0.043639549691261
314,-0.043639549691261
315,-0.043639549691261
316,-0.043639549691261
317,-0.043639549691261
318,-0.043639549691261
319,-0.043639549691261
320,-0.043639549691261
321,-0.043639549691261
322,-0.043639549691261
323,-0.043639549691261
324,-0.043639549691261
325,-0.043639549691261
326,-0.043639549691261
327,-0.043639549691261
328,-0.043639549691261
329,-0.043639549691261
330,-0.043639549691261
331,-0.043639549691261
332,-0.043639549691261
333,-0.043639549691261
334,-0.043639549691261
335,-0.043639549691261
336,-0.043639549691261
337,-0.043639549691261
338,-0.043639549691261
339,-0.043639549691261
340,-0.043639549691261
341,-0.043639549691261
342,-0.043639549691261
343,-0.043639549691261
344,-0.043639549691261
345,-0.043639549691261
346,-0.043639549691261
347,-0.043639549691261
348,-0.043639549691261
349,-0.043639549691261
350,-0.043639549691261
351,-0.043639549691261
352,-0.043639549691261
353,-0.043639549691261
354,-0.043639549691261
355,-0.043639549691261
356,-0.043639549691261
357,-0.043639549691261
358,-0.043639549691261
359,-0.043639549691261
360,-0.043639549691261
361,-0.043639549691261
362,-0.043639549691261
363,-0.043639549691261
364,-0.043639549691261
365,-0.043639549691261
366,-0.043639549691261
367,-0.043639549691261
368,-0.043639549691261
369,-0.043639549691261
370,-0.043639549691261
371,-0.043639549691261
372,-0.043639549691261
