,return
250,-0.026520381501097062
251,-0.026520381501097062
252,-0.026520381501097062
253,-0.026520381501097062
254,-0.026520381501097062
255,-0.026520381501097062
256,-0.026520381501097062
257,-0.026520381501097062
258,-0.027289026166965935
259,-0.027289026166965935
260,-0.027289026166965935
261,-0.027289026166965935
262,-0.027289026166965935
263,-0.027289026166965935
264,-0.027289026166965935
265,-0.027289026166965935
266,-0.027289026166965935
267,-0.027289026166965935
268,-0.027289026166965935
269,-0.027289026166965935
270,-0.027289026166965935
271,-0.027289026166965935
272,-0.027289026166965935
273,-0.027289026166965935
274,-0.027289026166965935
275,-0.027289026166965935
276,-0.027289026166965935
277,-0.027289026166965935
278,-0.027289026166965935
279,-0.027289026166965935
280,-0.027289026166965935
281,-0.027289026166965935
282,-0.027289026166965935
283,-0.027289026166965935
284,-0.027289026166965935
285,-0.027289026166965935
286,-0.027289026166965935
287,-0.033676399497438406
288,-0.033676399497438406
289,-0.037338343819227196
290,-0.037338343819227196
291,-0.037338343819227196
292,-0.037338343819227196
293,-0.037338343819227196
294,-0.037338343819227196
295,-0.037338343819227196
296,-0.037338343819227196
297,-0.037338343819227196
298,-0.037338343819227196
299,-0.037338343819227196
300,-0.037338343819227196
301,-0.037338343819227196
302,-0.037338343819227196
303,-0.037338343819227196
304,-0.037338343819227196
305,-0.037338343819227196
306,-0.037338343819227196
307,-0.037338343819227196
308,-0.037338343819227196
309,-0.037338343819227196
310,-0.037338343819227196
311,-0.037338343819227196
312,-0.037338343819227196
313,-0.037338343819227196
314,-0.037338343819227196
315,-0.037338343819227196
316,-0.037338343819227196
317,-0.037338343819227196
318,-0.037338343819227196
319,-0.037338343819227196
320,-0.037338343819227196
321,-0.037338343819227196
322,-0.037338343819227196
323,-0.037338343819227196
324,-0.037338343819227196
325,-0.037338343819227196
326,-0.037338343819227196
327,-0.031203983988208117
328,-0.031203983988208117
329,-0.031203983988208117
330,-0.031203983988208117
331,-0.031203983988208117
332,-0.031203983988208117
333,-0.031203983988208117
334,-0.031203983988208117
335,-0.031203983988208117
336,-0.031203983988208117
337,-0.031100437603929776
338,-0.031100437603929776
339,-0.031100437603929776
340,-0.031100437603929776
341,-0.031100437603929776
342,-0.031100437603929776
