Price,Open,Close
Ticker,^DJI,^DJI
Date,,
2019-01-02,23058.609375,23346.240234375
2019-01-03,23176.390625,22686.220703125
2019-01-04,22894.919921875,23433.16015625
2019-01-07,23474.259765625,23531.349609375
2019-01-08,23680.3203125,23787.44921875
2019-01-09,23844.26953125,23879.119140625
2019-01-10,23811.109375,24001.919921875
2019-01-11,23940.009765625,23995.94921875
2019-01-14,23880.529296875,23909.83984375
2019-01-15,23914.109375,24065.58984375
2019-01-16,24139.91015625,24207.16015625
2019-01-17,24147.08984375,24370.099609375
2019-01-18,24534.189453125,24706.349609375
2019-01-22,24607.759765625,24404.48046875
2019-01-23,24577.25,24575.619140625
2019-01-24,24579.9609375,24553.240234375
2019-01-25,24687.2109375,24737.19921875
2019-01-28,24596.98046875,24528.220703125
2019-01-29,24519.619140625,24579.9609375
2019-01-30,24826.51953125,25014.859375
2019-01-31,24954.48046875,24999.669921875
2019-02-01,25025.310546875,25063.890625
2019-02-04,25062.119140625,25239.369140625
2019-02-05,25287.9296875,25411.51953125
2019-02-06,25371.5703125,25390.30078125
2019-02-07,25265.810546875,25169.529296875
2019-02-08,25042.359375,25106.330078125
2019-02-11,25142.810546875,25053.109375
2019-02-12,25152.029296875,25425.759765625
2019-02-13,25480.859375,25543.26953125
2019-02-14,25460.650390625,25439.390625
2019-02-15,25564.630859375,25883.25
2019-02-19,25849.849609375,25891.3203125
2019-02-20,25872.259765625,25954.439453125
2019-02-21,25922.41015625,25850.630859375
2019-02-22,25906.26953125,26031.810546875
2019-02-25,26126.150390625,26091.94921875
2019-02-26,26051.609375,26057.98046875
2019-02-27,25995.599609375,25985.16015625
2019-02-28,25984.279296875,25916.0
2019-03-01,26019.669921875,26026.3203125
2019-03-04,26122.189453125,25819.650390625
2019-03-05,25829.0703125,25806.630859375
2019-03-06,25818.759765625,25673.4609375
2019-03-07,25645.44921875,25473.23046875
2019-03-08,25347.380859375,25450.240234375
2019-03-11,25208.0,25650.880859375
2019-03-12,25600.30078125,25554.66015625
2019-03-13,25637.23046875,25702.890625
2019-03-14,25692.310546875,25709.939453125
2019-03-15,25720.9609375,25848.869140625
2019-03-18,25801.880859375,25914.099609375
2019-03-19,25987.869140625,25887.380859375
2019-03-20,25867.7890625,25745.669921875
2019-03-21,25688.439453125,25962.509765625
2019-03-22,25844.650390625,25502.3203125
2019-03-25,25490.720703125,25516.830078125
2019-03-26,25649.560546875,25657.73046875
2019-03-27,25676.33984375,25625.58984375
2019-03-28,25693.3203125,25717.4609375
2019-03-29,25827.310546875,25928.6796875
2019-04-01,26075.099609375,26258.419921875
2019-04-02,26213.55078125,26179.130859375
2019-04-03,26238.029296875,26218.130859375
2019-04-04,26213.419921875,26384.630859375
2019-04-05,26427.560546875,26424.990234375
2019-04-08,26312.669921875,26341.01953125
2019-04-09,26243.5390625,26150.580078125
2019-04-10,26173.7109375,26157.16015625
2019-04-11,26188.2109375,26143.05078125
2019-04-12,26357.7890625,26412.30078125
2019-04-15,26407.759765625,26384.76953125
2019-04-16,26482.189453125,26452.66015625
2019-04-17,26468.529296875,26449.5390625
2019-04-18,26463.369140625,26559.5390625
2019-04-22,26510.76953125,26511.05078125
2019-04-23,26513.830078125,26656.390625
2019-04-24,26652.560546875,26597.05078125
2019-04-25,26426.369140625,26462.080078125
2019-04-26,26454.619140625,26543.330078125
2019-04-29,26559.869140625,26554.390625
2019-04-30,26594.560546875,26592.91015625
2019-05-01,26639.060546875,26430.140625
2019-05-02,26407.150390625,26307.7890625
2019-05-03,26379.140625,26504.94921875
2019-05-06,26160.619140625,26438.48046875
2019-05-07,26276.900390625,25965.08984375
2019-05-08,25933.7890625,25967.330078125
2019-05-09,25878.849609375,25828.359375
2019-05-10,25763.720703125,25942.369140625
2019-05-13,25568.060546875,25324.990234375
2019-05-14,25384.029296875,25532.05078125
2019-05-15,25400.130859375,25648.01953125
2019-05-16,25692.140625,25862.6796875
2019-05-17,25719.94921875,25764.0
2019-05-20,25655.310546875,25679.900390625
2019-05-21,25782.33984375,25877.330078125
2019-05-22,25818.4609375,25776.609375
2019-05-23,25657.990234375,25490.470703125
2019-05-24,25551.0703125,25585.689453125
2019-05-28,25616.55078125,25347.76953125
2019-05-29,25231.4609375,25126.41015625
2019-05-30,25139.939453125,25169.880859375
2019-05-31,25046.310546875,24815.0390625
2019-06-03,24830.16015625,24819.779296875
2019-06-04,24962.8203125,25332.1796875
2019-06-05,25451.0,25539.5703125
2019-06-06,25567.44921875,25720.66015625
2019-06-07,25768.720703125,25983.939453125
2019-06-10,26090.220703125,26062.6796875
2019-06-11,26180.58984375,26048.509765625
2019-06-12,26040.30078125,26004.830078125
2019-06-13,26036.939453125,26106.76953125
2019-06-14,26076.359375,26089.609375
2019-06-17,26108.529296875,26112.529296875
2019-06-18,26228.900390625,26465.5390625
2019-06-19,26490.16015625,26504.0
2019-06-20,26665.380859375,26753.169921875
2019-06-21,26749.119140625,26719.130859375
2019-06-24,26727.609375,26727.5390625
