,return
100,-0.017491011092315052
101,-0.017491011092315052
102,-0.017491011092315052
103,-0.017491011092315052
104,-0.017491011092315052
105,-0.017491011092315052
106,-0.017491011092315052
107,-0.017491011092315052
108,-0.017491011092315052
109,-0.017491011092315052
110,-0.017491011092315052
111,-0.017491011092315052
112,-0.017491011092315052
113,-0.017491011092315052
114,-0.017491011092315052
115,-0.017491011092315052
116,-0.017491011092315052
117,-0.017491011092315052
118,-0.017491011092315052
119,-0.017491011092315052
120,-0.017491011092315052
121,-0.017491011092315052
122,-0.017491011092315052
123,-0.017491011092315052
124,-0.017491011092315052
125,-0.017491011092315052
126,-0.017491011092315052
127,-0.017491011092315052
128,-0.017491011092315052
129,-0.017491011092315052
130,-0.017491011092315052
131,-0.017491011092315052
132,-0.017491011092315052
133,-0.017491011092315052
134,-0.017491011092315052
135,-0.017491011092315052
136,-0.017491011092315052
137,-0.017491011092315052
138,-0.017491011092315052
139,-0.017491011092315052
140,-0.017491011092315052
141,-0.017491011092315052
142,-0.017491011092315052
143,-0.017491011092315052
144,-0.017491011092315052
145,-0.017491011092315052
146,-0.022116884270490154
147,-0.022116884270490154
148,-0.022116884270490154
149,-0.022116884270490154
150,-0.022116884270490154
151,-0.022116884270490154
152,-0.022116884270490154
153,-0.022116884270490154
154,-0.022116884270490154
155,-0.022116884270490154
156,-0.022116884270490154
157,-0.019065266197010013
158,-0.019065266197010013
159,-0.019065266197010013
160,-0.019065266197010013
161,-0.019065266197010013
162,-0.019065266197010013
163,-0.019065266197010013
164,-0.019065266197010013
165,-0.019065266197010013
166,-0.019065266197010013
167,-0.019065266197010013
168,-0.019065266197010013
169,-0.019065266197010013
170,-0.019065266197010013
171,-0.019065266197010013
172,-0.019065266197010013
173,-0.019065266197010013
174,-0.019065266197010013
175,-0.019065266197010013
176,-0.019065266197010013
177,-0.019065266197010013
178,-0.019065266197010013
179,-0.019065266197010013
180,-0.019065266197010013
181,-0.019065266197010013
182,-0.019065266197010013
183,-0.019065266197010013
184,-0.019065266197010013
185,-0.019065266197010013
186,-0.019065266197010013
187,-0.019065266197010013
188,-0.019065266197010013
189,-0.029230817454442063
190,-0.029230817454442063
191,-0.029230817454442063
192,-0.029230817454442063
193,-0.029230817454442063
194,-0.029230817454442063
195,-0.029230817454442063
196,-0.029230817454442063
197,-0.029230817454442063
198,-0.029230817454442063
199,-0.029230817454442063
200,-0.029230817454442063
201,-0.029230817454442063
202,-0.029230817454442063
203,-0.029230817454442063
204,-0.029230817454442063
205,-0.029230817454442063
206,-0.029230817454442063
207,-0.029230817454442063
208,-0.029230817454442063
209,-0.029230817454442063
210,-0.029230817454442063
211,-0.029230817454442063
212,-0.029230817454442063
213,-0.029230817454442063
214,-0.029230817454442063
215,-0.029230817454442063
216,-0.029230817454442063
217,-0.029230817454442063
218,-0.029230817454442063
219,-0.029230817454442063
220,-0.029230817454442063
221,-0.029230817454442063
222,-0.029230817454442063
223,-0.029230817454442063
224,-0.029230817454442063
225,-0.029230817454442063
226,-0.029230817454442063
227,-0.029230817454442063
228,-0.029230817454442063
229,-0.029230817454442063
230,-0.029230817454442063
