,return
50,-0.011888909454866353
51,-0.011888909454866353
52,-0.011425885554490435
53,-0.011425885554490435
54,-0.011425885554490435
55,-0.011425885554490435
56,-0.012679301252792565
57,-0.012679301252792565
58,-0.012679301252792565
59,-0.012679301252792565
60,-0.012679301252792565
61,-0.012679301252792565
62,-0.012679301252792565
63,-0.012679301252792565
64,-0.012679301252792565
65,-0.012679301252792565
66,-0.012679301252792565
67,-0.012679301252792565
68,-0.012679301252792565
69,-0.012679301252792565
70,-0.012679301252792565
71,-0.012679301252792565
72,-0.012679301252792565
73,-0.012679301252792565
74,-0.012679301252792565
75,-0.012679301252792565
76,-0.012679301252792565
77,-0.012679301252792565
78,-0.012679301252792565
79,-0.012679301252792565
80,-0.012679301252792565
81,-0.012679301252792565
82,-0.012679301252792565
83,-0.012679301252792565
84,-0.012679301252792565
85,-0.012679301252792565
86,-0.012679301252792565
87,-0.013382385498834318
88,-0.013382385498834318
89,-0.013382385498834318
90,-0.013382385498834318
91,-0.013382385498834318
92,-0.013382385498834318
93,-0.013382385498834318
94,-0.013382385498834318
95,-0.013382385498834318
96,-0.013382385498834318
97,-0.013382385498834318
98,-0.013382385498834318
99,-0.013382385498834318
100,-0.013382385498834318
101,-0.014377062386441168
102,-0.014377062386441168
103,-0.014377062386441168
104,-0.014377062386441168
105,-0.014377062386441168
106,-0.01406494313668791
107,-0.01406494313668791
108,-0.01406494313668791
109,-0.01406494313668791
110,-0.01406494313668791
111,-0.01406494313668791
112,-0.01406494313668791
113,-0.01406494313668791
114,-0.01406494313668791
115,-0.01406494313668791
116,-0.01406494313668791
117,-0.01406494313668791
118,-0.01406494313668791
119,-0.01406494313668791
120,-0.01406494313668791
121,-0.01406494313668791
122,-0.01406494313668791
123,-0.01406494313668791
124,-0.01406494313668791
125,-0.01406494313668791
126,-0.01406494313668791
127,-0.01406494313668791
128,-0.01406494313668791
129,-0.01406494313668791
130,-0.01406494313668791
131,-0.01406494313668791
132,-0.01406494313668791
133,-0.01406494313668791
134,-0.01406494313668791
135,-0.01406494313668791
136,-0.01406494313668791
137,-0.011895469353023071
138,-0.011895469353023071
139,-0.011895469353023071
140,-0.011895469353023071
141,-0.011895469353023071
142,-0.011895469353023071
143,-0.011895469353023071
144,-0.011895469353023071
145,-0.011895469353023071
146,-0.014227934493311188
147,-0.014227934493311188
148,-0.014227934493311188
149,-0.016078911483848282
150,-0.016078911483848282
151,-0.015273992919055046
152,-0.015273992919055046
153,-0.015273992919055046
154,-0.015273992919055046
155,-0.015273992919055046
156,-0.018573651246708033
157,-0.018573651246708033
158,-0.018573651246708033
159,-0.018573651246708033
160,-0.018573651246708033
161,-0.018573651246708033
162,-0.018573651246708033
163,-0.018573651246708033
164,-0.018573651246708033
165,-0.018573651246708033
166,-0.018573651246708033
167,-0.018573651246708033
168,-0.018573651246708033
169,-0.018573651246708033
